Buckle Island
Operated by US
latitude -66.87 longitude 163.24 height 520m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1987 04 14 03 00   905.8    -3.4 -999    -999                                   
1987 04 14 06 00   905.3    -3.4 -999    -999                                   
1987 04 14 09 00   906.0    -3.5 -999    -999                                   
1987 04 14 12 00   907.6    -3.6 -999    -999                                   
1987 04 14 15 00   909.6    -4.1 -999    -999                                   
1987 04 14 18 00   911.6    -4.2 -999    -999                                   
1987 04 14 21 00   914.5    -5.0 -999    -999                                   
1987 04 15 00 00   918.3    -5.5 -999    -999                                   
1987 04 15 03 00   920.4    -6.0 -999    -999                                   
1987 04 15 06 00   922.7    -7.0 -999    -999                                   
1987 04 15 09 00   925.0    -7.4 -999    -999                                   
1987 04 15 12 00   927.0    -7.6 -999    -999                                   
1987 04 15 15 00   927.3    -7.7 -999    -999                                   
1987 04 15 18 00   926.3    -7.6 -999    -999                                   
1987 04 15 21 00   924.7    -7.1 -999    -999                                   
1987 04 16 00 00   923.2    -6.5 -999    -999                                   
1987 04 16 03 00   920.7    -6.0 -999    -999                                   
1987 04 16 06 00   917.7    -5.6 -999    -999                                   
1987 04 16 09 00   916.4    -5.2 -999    -999                                   
1987 04 16 12 00   916.5    -5.0 -999    -999                                   
1987 04 16 15 00   918.1    -5.2 -999    -999                                   
1987 04 16 18 00   919.3    -5.4 -999    -999                                   
1987 04 16 21 00   920.9    -5.2 -999    -999                                   
1987 04 17 00 00   922.6    -4.9 -999    -999                                   
1987 04 17 03 00   924.3    -4.7 -999    -999                                   
1987 04 17 06 00   925.3    -4.7 -999    -999                                   
1987 04 17 09 00   925.9    -4.9 -999    -999                                   
1987 04 17 12 00   926.1    -5.2 -999    -999                                   
1987 04 17 15 00   926.1    -5.5 -999    -999                                   
1987 04 17 18 00   925.4    -5.7 -999    -999                                   
1987 04 17 21 00   925.4    -6.0 -999    -999                                   
1987 04 18 00 00   925.6    -6.0 -999    -999                                   
1987 04 18 03 00   925.8    -5.6 -999    -999                                   
1987 04 18 06 00   926.5    -5.7 -999    -999                                   
1987 04 18 09 00   927.3    -6.0 -999    -999                                   
1987 04 18 12 00   928.3    -7.0 -999    -999                                   
1987 04 18 15 00   928.4    -7.6 -999    -999                                   
1987 04 18 18 00   929.5    -7.4 -999    -999                                   
1987 04 18 21 00   930.9    -7.4 -999    -999                                   
1987 04 19 03 00   927.5    -6.5 -999    -999                                   
1987 04 19 06 00   923.6    -6.3 -999    -999                                   
1987 04 19 09 00   922.2    -6.0 -999    -999                                   
1987 04 19 12 00   923.7    -6.0 -999    -999                                   
