Nancy
Operated by US
latitude -77.91 longitude 168.17 height 25m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1983 01 17 00 00   994.8 -999       11.7   180                                  
1983 03 01 06 00   988.0   -25.0     3.1   117                                  
1983 03 01 09 00   987.6   -29.9     5.5   149                                  
1983 03 01 12 00   987.5   -32.1     4.5   161                                  
1983 03 01 15 00   987.5   -32.0     3.5   141                                  
1983 03 01 18 00   987.8   -29.3     2.7   162                                  
1983 03 01 21 00   988.5   -27.5     1.8    45                                  
1983 03 02 00 00   989.5   -26.5     3.1   170                                  
1983 03 02 03 00   989.7   -19.8     4.5   180                                  
1983 03 02 06 00   989.9   -21.9     4.5   170                                  
1983 03 02 09 00   990.9   -20.1     6.2   176                                  
1983 03 02 12 00   992.3   -15.4    10.7   225                                  
1983 03 02 15 00   994.4   -16.5     6.8   280                                  
1983 03 02 18 00   997.0   -13.6     9.0   256                                  
1983 03 02 21 00   998.7   -13.5    15.2   180                                  
1983 03 03 00 00  1001.1   -14.1    16.2   186                                  
1983 03 03 03 00  1002.8   -12.8     8.0   248                                  
1983 03 03 06 00  1004.0   -13.0     2.1   340                                  
1983 03 03 09 00  1005.3   -14.1     3.1    22                                  
1983 03 03 12 00  1006.8   -13.9     2.1   120                                  
1983 03 03 15 00  1007.7   -15.1     1.8   120                                  
1983 03 03 18 00  1008.6   -16.6     4.5    45                                  
1983 03 03 21 00  1009.4   -18.4     4.9   120                                  
1983 03 04 00 00  1009.7   -19.8     1.4   360                                  
1983 03 04 03 00  1009.0   -18.1     0.0     0                                  
1983 03 04 06 00  1008.4   -17.1     0.0     0                                  
1983 03 04 09 00  1007.6   -21.6     1.4   131                                  
1983 03 04 12 00  1006.2   -22.5     5.8    37                                  
1983 03 04 15 00  1004.8   -28.1     4.1    22                                  
1983 03 04 18 00  1004.2   -26.8     2.1   180                                  
1983 03 04 21 00  1003.7   -24.1     4.5   180                                  
1983 03 05 00 00  1002.8   -17.4    11.7   180                                  
1983 03 05 03 00  1003.1   -18.9    11.7   180                                  
1983 03 05 06 00  1002.8   -20.8    13.8   180                                  
1983 03 05 09 00  1003.1   -21.0     6.2   141                                  
1983 03 05 12 00  1003.0   -23.1     6.2   127                                  
1983 03 05 15 00  1002.0   -22.8     1.4    45                                  
1983 03 05 18 00  1000.9   -22.0     1.8    41                                  
1983 03 05 21 00   999.7   -21.9     2.7    90                                  
1983 03 06 00 00   998.2   -20.6     3.5   101                                  
1983 03 06 03 00   996.6   -22.3     1.4    69                                  
1983 03 06 06 00   994.8   -26.3     2.7   330                                  
1983 03 06 09 00   993.2   -27.4     4.5   301                                  
1983 03 06 12 00   991.9   -27.9     5.5   289                                  
1983 03 06 15 00   990.7   -26.3     7.2   301                                  
1983 03 06 18 00   989.3   -25.3     8.0   289                                  
1983 03 06 21 00   987.9   -20.6     5.5   302                                  
1983 03 07 00 00   987.2   -14.0     8.6   276                                  
1983 03 07 03 00   988.5   -12.8     9.9   180                                  
1983 03 07 06 00   990.8   -23.4    11.7   116                                  
1983 03 07 09 00   993.9   -28.4     5.8    66                                  
1983 03 07 12 00   995.3   -32.6     4.9    45                                  
1983 03 07 15 00   995.5   -33.9     4.9    44                                  
1983 03 07 18 00   995.6   -33.8     1.0     0                                  
1983 03 07 21 00   995.6   -31.6     1.8    45                                  
1983 03 08 00 00   995.4   -28.0     4.1    30                                  
1983 03 08 03 00   994.6   -24.8     5.5   318                                  
1983 03 08 06 00   994.2   -24.6     4.1   330                                  
1983 03 08 09 00   993.8   -24.3     4.1   330                                  
1983 03 08 12 00   993.4   -22.9     2.7   360                                  
1983 03 08 15 00   992.9   -24.8     0.0     0                                  
1983 03 08 18 00   991.8   -21.9     0.0     0                                  
1983 03 08 21 00   991.1   -18.4     0.0     0                                  
1983 03 09 00 00   990.7   -18.9     0.0     0                                  
1983 03 09 03 00   990.1   -19.0     7.6   333                                  
1983 03 09 06 00   989.3   -16.0     4.9   309                                  
1983 03 09 09 00   989.5   -13.3     3.5   260                                  
1983 03 09 12 00   989.5   -20.5     3.5   330                                  
1983 03 09 15 00   989.0   -22.4     2.7   307                                  
1983 03 09 18 00   988.7   -22.6     1.0     0                                  
1983 03 09 21 00   988.5   -23.3     1.4   143                                  
1983 03 10 00 00   988.9   -18.3     1.0     0                                  
1983 03 10 03 00   988.3   -17.6     4.5   349                                  
1983 03 10 06 00   987.2   -20.0     2.1   301                                  
1983 03 10 09 00   985.9   -20.0     1.0     0                                  
1983 03 10 12 00   985.1   -20.6     2.1    90                                  
1983 03 10 15 00   983.2   -18.3     0.4     0                                  
1983 03 10 18 00   981.9   -18.6     4.1    56                                  
1983 03 10 21 00   980.9   -17.8     6.8   360                                  
1983 03 11 00 00   979.9   -16.9     5.8   360                                  
1983 03 11 03 00   979.1   -18.9     1.8   360                                  
1983 03 11 06 00   978.7   -19.0     5.5   354                                  
1983 03 11 09 00   979.1   -22.5     2.1   360                                  
1983 03 11 12 00   980.4   -21.0     3.1   315                                  
1983 03 11 15 00   982.0   -14.9    19.7   180                                  
1983 03 11 18 00   988.3   -25.3    21.1   180                                  
1983 03 11 21 00   992.2   -26.8    19.7   167                                  
1983 03 12 00 00   993.7   -27.0    15.6   180                                  
1983 03 12 03 00   993.6   -23.8     2.1   270                                  
1983 03 12 06 00   994.1   -23.5     1.8    37                                  
1983 03 12 09 00   993.5   -23.5     4.1    66                                  
1983 03 12 12 00   993.4   -20.4     1.0     0                                  
1983 03 12 15 00   993.6   -19.6     4.9   143                                  
1983 03 12 18 00   994.2   -19.5    13.8   180                                  
1983 03 12 21 00   994.0   -20.1     4.9   193                                  
1983 03 13 00 00   992.2   -19.8     0.4     0                                  
1983 03 13 03 00   991.3   -18.4     7.2   141                                  
1983 03 13 06 00   990.5   -17.8     9.4   170                                  
1983 03 13 09 00   990.7   -20.1    11.1   180                                  
1983 03 13 12 00   990.8   -20.5    11.1   194                                  
