Filchner_new
Operated by Germany
latitude -77.08 longitude -51.22 height 999m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by AWI

1991 01 01 00 00 -999    -999    -999    -999                                   
1991 02 23 21 00   998.6    -7.4    27.1   312                                  
1991 02 24 00 00   999.5    -9.9    25.2   313                                  
1991 02 24 03 00  1000.4   -11.0    16.4   269                                  
1991 02 24 06 00  1000.8   -12.7    21.6   313                                  
1991 02 24 09 00  1001.0   -13.8    18.6   312                                  
1991 02 24 12 00  1000.6   -14.1     6.0   279                                  
1991 02 24 15 00  1000.1   -13.9     1.4   323                                  
1991 02 24 18 00   999.0   -12.9     5.7    88                                  
1991 02 24 21 00   998.0   -14.6    10.4    88                                  
1991 02 25 00 00   996.9   -18.9     8.7    43                                  
1991 02 25 03 00   996.6   -22.1     9.1    42                                  
1991 02 25 06 00   996.8   -24.6     5.5    43                                  
1991 02 25 09 00   996.6   -24.6     7.4    42                                  
1991 02 25 12 00   996.3   -19.9     9.9   358                                  
1991 02 25 15 00   996.2   -18.4    11.7   313                                  
1991 02 25 18 00   996.4   -14.1    12.6   313                                  
